0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Date,CG Scheme,SG Scheme,E Tier I,C Tier I,G Tier I,E Tier II,C Tier II,G Tier II,NPS Lite,Corporate CG,APY,A Tier I,A Tier II,NPS TTS-II
2009-06-20,11.1893,0.0000,9.2758,10.1035,10.0632,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-21,11.1917,0.0000,9.2758,10.1047,10.0653,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-22,11.1922,0.0000,9.2758,10.1070,10.0674,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-23,11.1965,0.0000,9.1981,10.1088,10.0693,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-24,11.1991,0.0000,9.2087,10.1174,10.0711,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-25,11.1997,10.0000,9.2538,10.1191,10.0729,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-26,11.2066,10.0000,9.2064,10.1208,10.0747,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-27,11.2090,10.0000,9.3173,10.1226,10.0764,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-28,11.2114,10.0000,9.3173,10.1237,10.0781,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-29,11.2176,10.0000,9.3173,10.1260,10.0798,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-06-30,11.2156,10.0000,9.3279,10.1277,10.0810,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-01,11.2207,10.0000,9.2654,10.1295,10.0822,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-02,11.2211,10.0000,9.2910,10.1314,10.0834,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-03,11.2275,10.0000,9.2967,10.1329,10.0845,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-04,11.2299,10.0000,9.3453,10.1345,10.0857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-05,11.2323,10.0000,9.3453,10.1355,10.0868,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-06,11.2234,10.0000,9.3453,10.1376,10.0879,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-07,11.2234,10.0000,9.1920,10.1391,10.0889,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-08,11.2220,10.0000,9.2125,10.1405,10.0898,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-09,11.2264,10.0000,9.1422,10.1419,10.0908,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-10,11.2223,10.0000,9.1443,10.1434,10.0917,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-11,11.2247,10.0000,9.1031,10.1449,10.0926,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-12,11.2271,10.0000,9.1031,10.1458,10.0935,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-13,11.2276,10.0000,9.1031,10.1476,10.0944,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-14,11.2364,10.0000,9.0681,10.1485,10.0952,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-15,11.2467,10.0000,9.2446,10.1651,10.0959,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-16,11.2509,10.0000,9.3984,10.1664,10.0967,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-17,11.2588,9.9999,9.3921,10.1676,10.0974,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-18,11.2612,9.9999,9.5722,10.1689,10.0982,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-19,11.2635,9.9999,9.5722,10.1698,10.0989,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-20,11.2746,9.9998,9.5721,10.1716,10.0996,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-21,11.2754,9.9998,9.7243,10.1724,10.1003,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-22,11.2753,9.9998,9.6836,10.1913,10.1010,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-23,11.2833,9.9998,9.6018,10.1926,10.1017,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-24,11.2848,9.9998,9.7456,10.1938,10.1061,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-25,11.2871,9.9998,9.7956,10.1951,10.1067,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-26,11.2895,9.9998,9.7956,10.1959,10.1074,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-27,11.2901,9.9998,9.7955,10.1975,10.1080,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-28,11.2905,9.9998,9.7988,10.1987,10.1087,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-29,11.2925,9.9998,9.7886,10.1999,10.1092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-30,11.2951,9.9998,9.7352,10.2010,10.1092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-07-31,11.3036,9.9998,9.7946,10.2022,10.1098,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-01,11.3060,9.9998,9.8645,10.2034,10.1104,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-02,11.3084,9.9997,9.8645,10.2042,10.1109,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-03,11.3159,9.9997,9.8645,10.2057,10.1115,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-04,11.3189,9.9997,9.9406,10.2068,10.1120,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-05,11.3227,9.9997,9.9091,10.2080,10.1137,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-06,11.3210,9.9997,9.9254,10.2091,10.1154,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-07,11.3184,9.9997,9.8130,10.2102,10.1171,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-08,11.3208,9.9997,9.7101,10.2114,10.1188,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-09,11.3232,9.9997,9.7101,10.2122,10.1205,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-10,11.3239,9.9997,9.7100,10.2137,10.1222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-11,11.3287,9.9997,9.6673,10.2148,10.1236,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-12,11.3293,9.9997,9.6984,10.2159,10.1267,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-13,11.3380,9.9997,9.6878,10.2177,10.1282,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-14,11.3417,9.9997,9.8188,10.2196,10.1296,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-15,11.3441,9.9997,9.7966,10.2213,10.1310,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-16,11.3465,9.9997,9.7966,10.2228,10.1323,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-17,11.3409,9.9997,9.7966,10.2249,10.1337,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-18,11.3448,9.9997,9.6296,10.2267,10.1351,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-19,11.3429,9.9997,9.6859,10.2285,10.1364,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
2009-08-20,11.3505,9.9997,9.6365,10.2343,10.1376,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,
